*4u,kiss for you
g2gn,got to go now
g2gp,got to go pee
g2gpc,got 2 go parents coming
g2gpp,got to go pee pee
g2gs,got to go sorry
g2h,go to hell
g2hb,go to hell b   h
g2k,good to know
g2p,got to pee
g2t2s,got to talk to someone
g3y,gay
g4u,good for you
g4y,good for you
g8,gate
g9,good night
g@y,gay
ga,go ahead
gaalma,go away and leave me alone
gaf,good as f  k
gafi,get away from it
gafl,get a f  king life
gafm,get away from me
gagf,go and get f  ked
gagp,go and get pissed
gah,gay a   homo
gai,gay
gaj,get a job
gal,get a life
gamez,illegally obtained games
gangsta,gangster
gank,kill
gaoep,generally accepted office etiquette principles
gaw,grandparents are watching
gawd,god
gb,go back
gb2,go back to
gba,game boy advance
gbioua,go blow it out your a  
gbnf,gone but not forgotten
gbtw,go back to work
gbu,god bless you
gby,good bye
gcad,get cancer and die
gcf,google click fraud
gd,good
gd&r,grins  ducks  and runs
gd4u,good for you
gday,good day
gdby,good bye
gded,grounded
gdgd,good good
gdi,god d  n it
gdiaf,go die in a fire
gdih,go die in hell
gdilf,grandad i d like to f  k
gdmfpos,god d  n mother f  king piece of s  t
gdr,grinning  ducking  running
gemo,gay emo
getcha,get you
geto,ghetto
gewd,good
gey,gay
gf,girlfriend
gfad,go f  k a duck
gfadh,go f  k a dead horse
gfak,go fly a kite
gfam,go f  k a monkey
gfar2cu,go find a rock to crawl under
gfas,go f  k a sheep
gfd,god f  king damnit
gfe,girl friend experience
gfe2e,grinning from ear to ear
gfg,good f  king game
gfgi,go f  king google it
gfi,good f  king idea
gfj,good f  king job
gfl,grounded for life
gfo,go f  k off
gfu,go f  k yourself
gfurs,go f  k yourself
gfus,go f  k yourself
gfx,graphics
gfy,good for you
gfyd,go f  k your dad
gfym,go f  k your mom
gfys,go f  k yourself
gg,good game
gga,good game all
ggal,go get a life
ggf,go get f  ked
ggg,go  go  go 
ggnore,good game no rematch
ggp,gotta go pee
ggpaw,gotta go parents are watching
ggs,good games
gh,good half
ghei,gay
ghey,gay
gigig,get it got it good
gigo,garbage in garbage out
gilf,grandma i d like to f  k
gim,google instant messanger
gimme,give me
gimmie,give me
gir,google it retard
gis,google image search
gitar,guitar
giv,give
giyf,google is your friend
gj,good job
gjial,go jump in a lake
gjp,good job partner
gjsu,god just shut up
gjt,good job team
gky,go kill yourself
gkys,go kill yourself
gl,good luck
gl hf,good luck  have fun
gl&hf,good luck and have fun
gla,good luck all
glbt,gay  lesbian  bisexual  transgenderd
glf,group looking for
glhf,good luck have fun
glln,got laid last night
glnhf,good luck and have fun
glty,good luck this year
glu,girl like us
glu2,good luck to you too
glux,good luck
glwt,good luck with that
gm,good morning
gma,grandma
gmab,give me a break
gmabj,give me a blowjob
gmafb,give me a f  king break
gmao,giggling my a   off
gmfao,giggling my f  king a   off
gmilf,grandmother i d like to f  k
gmod,global moderator
gmta,great minds think alike
gmtyt,good morning to you too
gmv,got my vote
gmybs,give me your best shot
gn,good night
gn8,good night
gnasd,good night and sweet dreams
gndn,goes nowhere does nothing
gnfpwlbn,good news for people who love bad news
gng,going
gng2,going to
gngbng,gang bang
gnight,good night
gnite,good night
gnn,get naked now
gno,going to do
gnoc,get naked on cam
gnos,get naked on screen
gnr,guns n  roses
gnrn,get naked right now
gnst,goodnight sleep tight
gnstdltbbb,good night sleep tight don t let the bed bugs bite
goc,get on camera
goi,get over it
goia,get over it already
goin,going
gok,god only knows
gokid     got observers,keep it decent
gokw,god only knows why
gol,giggle out loud
gomb,get off my back
goml,get out of my life
gona,gonna
gonna,going to
good9,goodnite
gooh,get out of here 
goomh,get out of my head
gork,god only really knows
gosad,go suck a d  k
gotc,get on the computer
gotcha,got you
gotta,got to
gow,gears of war
goya,get off your a  
goyhh,get off your high horse
gp,good point
gpb,gotta pee bad
gpwm,good point well made
gpytfaht,gladly pay you tuesday for a hamburger today
gr8,great
gr8t,great
grats,congratulations
gratz,congratulations
grfx,graphics
grillz,metal teeth
grl,girl
grmbl,grumble
grog,beer
grrl,girl
grtg,getting ready to go
grvy,groovy
gsad,go suck a d  k
gsave,global struggle against violent extremists
gsd,getting s  t done
gsfg,go search f  king google
gsi,go suck it
gsoh,good sense of humor
gsp,get some p   y
gsta,gangster
gt,get
gta,grand theft auto
gtas,go take a s  t
gtb,go to bed
gtf,get the f  k
gtfa,go the f  k away
gtfbtw,get the f  k back to work
gtfh,go to f  king hell
gtfo,get the f  k out
gtfoi,get the f  k over it
gtfon,get the f  k out noob
gtfooh,get the f  k out of here
gtfoomf,get the f  k out of my face
gtfu,grow the f  k up
gtfuotb,get the f  k up out this b   h
gtg,got to go
gtgb,got to go bye
gtgbb,got to go bye bye
gtgfn,got to go for now
gtgmmiloms,got to go my mum is looking over my shoulder
gtgn,got to go now
gtgp,got to go pee
gtgpp,got to go pee pee
gtgtb,got to go to bed
gtgtpirio,got to go the price is right is on
gtgtwn,got to go to work now
gth,go to hell
gtha,go the hell away
gthb,go to hell b   h
gthmf,go to hell mothaf  ka
gtho,get the hell out
gthu,grow the heck up
gthyfah,go to hell you f  king a  h  e
gtk,good to know
gtm,giggling to myself
gtn,getting
gtp,got to pee
gtr,got to run
gts,going to school
gtsy,good to see you
gttp,get to the point
gtty,good talking to you
gu,grow up
gu2i,get used to it
gud,good
gudd,good
gui,graphical user interface
gurl,girl
gurlz,girls
guru,expert
gw,good work
gwijd,guess what i just did
gwm,gay white male
gwork,good work
gwrk,good work
gws,get well soon
gwytose,go waste your time on someone else
gy,gay
gyal,girl
gypo,get your penis out
h&k,hugs and kisses
h*r,homestar runner
h+k,hugs and kisses
h.o,hold on
h/e,however
h/mo,homo
h/o,hold on
h/u,hold up
h/w,homework
h2,halo 2
h2gtb,have to go to the bathroom
h2o,water
h2sys,hope to see you soon
h3y,hey
h4kz0r5,hackers
h4x,hacks
h4x0r,hacker
h4xor,hacker
h4xr,hacker
h4xrz,hackers
h4xx0rz,hacker
h4xxor,hacker
h8,hate
h80r,hater
h82sit,hate to say it
h83r,hater
h8ed,hated
h8er,hater
h8r,hater
h8red,hatred
h8s,hates
h8t,hate
h8t0r,hater
h8t3r,hater
h8te,hate
h8tr,hater
h8u,i hate you
h9,husband in room
habt,how about this
hafta,have to
hagd,have a good day
hagl,have a great life
hagn,have a good night
hago,have a good one
hags,have a great summer
hai,hello
hait,hate
hak,here s a kiss
hakas,have a kick a   summer
hammrd,hammered
han,how about now
hau,how are you
hav,have
havnt,haven t
hawf,husband and wife forever
hawt,hot
hawtie,hottie
hax,hacks
hax0r,hacker
hax0red,hacked
hax0rz,hackers
haxer,hacker
haxor,hacker
haxoring,hacking
haxors,hackers
haxorz,hackers
haxxor,hacker
haxxzor,hacker
haxz0r,hacker
haxzor,hacker
hayd,how are you doing
hb,hurry back
hb4b,hoes before bros
hbd,happy birthday
hbic,head b   h in charge
hbii,how big is it
hbu,how about you
hby,how about you
hc,how come
hcbt1,he could be the one
hcib,how can it be
hcihy,how can i help you
hdop,help delete online predators
hdu,how dare you
hdydi,how do you do it
hdydt,how did you do that
heh,haha
hella,very
heya,hey
heyt,hate
heyy,hello
heyya,hello
hf,have fun
hfn,hell f  king no
hfs,holy f  king s  t 
hfsbm,holy f  king s  t batman
hfwt,have fun with that
hg,hockeygod
hght,height
hhiad,holy hole in a doughnut
hhiadb,holy hole in a donut batman
hhok,ha ha only kidding
hhyb,how have you been
hi2u,hello
hi2u2,hello to you too
hiet,height
hiik,hell if i know
hijack,start an off topic discussion
hith,how in the hell
hiw,husband is watching
hiya,hello
hiybbprqag,copying somebody else s search results
hj,hand job
hl     half,life
hl2     half,life 2
hla,hot lesbian action
hlb,horny little b     d
hld,hold
hldn,hold on
hldon,hold on
hll,hell
hlm,he loves me
hlo,hello
hlp,help
hly,holy
hlysht,holy s  t
hmb,hold me back
hmewrk,homework
hmfic,head mother f  ker in charge
hml,hate my life
hmoj,holy mother of jesus
hmu,hit me up
hmul,hit me up later
hmus,hit me up sometime
hmw,homework
hmwk,homework
hmwrk,homework
hng,horny net geek
hngry,hungry
hnic,head n    r in charge
ho,hold on
hoas,hang on a second
hoay,how old are you
hoh,head of household
hom,home
homey,friend
homie,good friend
homo,homosexual
hoopty,broke down automobile
hott,hot
howdey,hello
howz,hows
hpb,high ping b     d
hpoa,hot piece of a  
hppy,happy
hpy,happy
hpybdy,happy birthday
hr,hour
hre,here
hrny,horny
hrs,hours
hru,how are you
hrud,how are you doing
hs,has
hsd,high school dropout
hsik,how should i know
hsr,homestar runner
hss,horse s  t and splinters
hswm,have sex with me
ht,heard through
htc,hit the cell
htf,how the f  k
htfu,hurry the f  k up
hth,hope that helps
hthu,hurry the hell up
htr,hater
http,hyper text transfer protocol
hu,hey you
hubby,husband
hud,heads up display
huggle,hug and cuddle
hugz,hugs
hun,honey
hv,have
hve,have
hvnt,haven t
hw,homework
hw/hw,help me with homework
hwg,here we go
hwga,here we go again
hwik,how would i know
hwk,homework
hwmbo,he who must be obeyed
hwmnbn,he who must not be named
hwms,hot wild monkey sex
hwu,hey what s up
hwz,how is
hxc,hardcore
hy,hell yeah
hyb,how you been
hyg,here you go
hyk,how you know
i <3 u,i love you
i c,i see
i8,alright
i8u,i hate you
i<3 u,i love you
i<3u,i love you
iab,i am bored
iafh,i am f  king hot
iafi,i am from india
iag,it s all good
iah,i am horny
iai,i am interested
ianabs,i am not a brain surgeon
ianacl,i am not a copyright lawyer
ianal,i am not a lawyer
ianalb,i am not a lawyer  but  
ianars,i am not a rocket scientist
ians,i am not sure
ianyl,i am not your lawyer
iap,i am pissed
iasb,i am so bored
iaspfm,i am sorry please forgive me
iatb,i am the best
iateu,i hate you
iavb,i am very bored
iaw,in another window
iawtc,i agree with this comment
iawtp,i agree with this post
iawy,i agree with you
ib,i m back
ibbl,i ll be back later
ibcd,idiot between chair   desk
ibs,internet b   h slap
ibt,i ll be there
ibtl,in before the lock
ibw,i ll be waiting
ic,i see
icb,i can t believe
icbi,i can t believe it
icbiwoop,i chuckled  but it was out of pity 
icbt,i can t believe that
icbu,i can t believe you
icbyst,i cant believe you said that
iccl,i could care less
icgup,i can give you pleasure
icic,i see  i see
icp,insane clown posse
icr,i can t rememer
icsrg,i can still reach google
ictrn,i can t talk right now
icty,i can t tell you
icu,i see you
icudk,in case you didn t know
icup,i see you pee
icw,i care why 
icwudt,i see what you did there
icwum,i see what you mean
icydk,in csae you didn t know
icydn,in case you didn t know
icymi,in case you missed it
id10t,idiot
idbtwdsat,i don t believe they would do such a thing
idby,i don t believe you
idc,i don t care
iddi,i didn t do it
idec,i don t even care
idek,i don t even know
idfc,i don t f  king care
idfk,i don t f  king know
idfts,i don t f  king think so
idgac,i don t give a crap
idgad,i don t give a d  n
idgaf,i don t give a f  k
idgaff,i don t give a flying f  k
idgafs,i don t give a f  king s  t
idgara,i don t give a rat s a  
idgas,i don t give a s  t
idgi,i don t get it
idjit,idiot
idk,i don t know
idkbibt,i don t know but i ve been told
idke,i don t know ethier
idkh,i don t know how
idkh2s,i don t know how to spell
idkt,i don t know that
idkw,i don t know why
idkwiwdwu,i don t know what i would do without you
idkwts,i don t know what to say
idkwurta,i don t know what you are talking about 
idkwym,i don t know what you mean
idky,i don t know you
idkyb,i don t know why but
idkymb2,i didn t know yoru mom blogs too
idl,i don t like
idli,i don t like it
idlu,i don t like you
idly,i don t like you
idlyitw,i don t like you in that way
idm,i don t mind
idn,i don t know
idnk,i don t know
idno,i do not know
idntk,i dont need to know
idnwths,i do not want to have sex
idonno,i do not know
idop,it depends on price
idot,idiot
idr,i don t remember
idrc,i don t really care
idrfk,i don t really f  king know
idrgaf,i don t really give a f  k
idrgaff,i don t really give a flying f  k
idrk,i don t really know
idrts,i don t really think so
idsw,i don t see why
idtis,i don t think i should
idtkso,i don t think so
idts,i don t think so
idunno,i do not know
iduwym,i don t understand what you mean 
idw2,i don t want to
idw2n,i don t want to know
idwk,i don t wanna know
idwt,i don t want to
idwtg,i don t want to go
idyat,idiot
iebkac,issue exists between keyboard and chair
ietf,internet engineering task force
iff,if and only if
ifhu,i f  king hate you
ifhy,i f  king hate you
ifk,i f  king know
iflu,i f  king love you
ifthtb,i find that hard to belive
ifttt,if this then that
ifwis,i forgot what i said
ig,i guess
ig2g,i got to go
ig5oi,i got 5 on it
igahp,i ve got a huge penis
igalboc,i ve got a lovely bunch of cocnuts
igg,i gotta go
ight,alright
igkymfa,i m gonna kick your mother f  king a  
igs,i guess so
igt,i got this
igtg,i ve got to go
igtgt,i got to go tinkle
igtkya,im going to kick your a  
igu,i give up
igyb,i got your back
ih,it happens
ih2gp,i have to go pee
ih2p,i ll have to pa  
ih8,i hate
ih8mls,i hate my little sister
ih8p,i hate parents
ih8tu,i hate you
ih8u,i hate you
ih8usm,i hate you so much
ih8y,i hate you
ihac,i have a customer
ihat3u,i hate you
ihistr,i hope i spelled that right
ihiwydt,i hate it when you do that
ihml,i hate my life
ihmp,i hate my parents
ihnc,i have no clue
ihnfc,i have no f  king clue
ihni,i have no idea
iht,i heard that
ihtfp,i hate this f  king place
ihtgttbwijd,i have to go to the bathroom  wait i just did 
ihtp,i have to poop
ihtsm,i hate this so much
ihtutbr,i have to use the bathroom
ihu,i hate you
ihurg,i hate your guts
ihusb,i hate you so bad
ihusfm,i hate you so f  king much
ihusm,i hate you so much
ihy,i hate you
ihya,i hate you all
ihysm,i hate you so much
ihysmrn,i hate you so much right now
iigh,alright
iight,alright
iiok,is it okay
iirc,if i recall correctly
iistgtbtipi,if it sounds too good to be true it probably is
iit,is it tight
iitywimwybmad,if i tell you what it means will you buy me a drink
iitywybmad,if i tell you  will you buy me a drink 
iiuc,if i understand correctly
iiw2,is it web 2 0 
iiwii,it is what it is
ij,indide joke
ijaf,it s just a fact
ijcomk,i just came on my keyboard
ijdk,i just don t know
ijdl,i just died laughing
ijeomk,i just ejaculated on my keybord
ijf,i just farted
ijgl,i just got laid
ijit,idiot
ijk,i m just kidding
ijp,internet job posting
ijpmp,i just peed my pants
ijpms,i just pissed myself
ijr,i just remembered
ijsabomomcibstg,i just saved a bunch of money on my car insurance by switching to geico
ik,i know
iki,i know it
ikm,i know man
ikr,i know really
ikt,i knew that
ikwud,i know what you did
ikwum,i know what you meant
ikwyl,i know where you live
ikwym,i know what you mean
ilbbaicnl,i like big butts and i can not lie
ilbcnu,i ll be seeing you
ilcul8r,i ll see you later
ilhsm,i love him her so much
ili,i love it
ilk2fku,i would like to f  k you
ilml,i love my life
ilms,i love my self
ilotibinlirl,i m laughing on the internet  but i m not laughing in real life
ilshipmp,i laughed so hard i peed my pants
iltf,i love to f  k
ilu,i love you
ilu2,i love you too
iluaaf,i love you as a friend
ilulafklc,i love you like a fat kid loves cake 
ilum,i love you more
ilusfm,i love you so f  king much
ilusm,i love you so much
iluvm,i love you very much
iluvu,i love you
iluvya,i love you
iluwamh,i love you with all my heart
ilvu,i love you
ily,i love you
ily2,i love you too
ily4e,i love you forever
ily4ev,i love you forever
ilyaas,i love you as a sister
ilyal,i like you a lot
ilyb,i love you b   h
ilybby,i love you baby
ilybtid,i love you but then i don t
ilyf,i ll love you forever
ilygsm,i love you guys so much
ilykthnxbai,i love you k thanks bye
ilyl,i love you loads
ilylab,i love you like a brother
ilylabf,i love you like a best friend
ilylafklc,i love you like a fat kid loves cake
ilylas,i love you like a sister
ilylc,i love you like crazy
ilym,i love you more
ilymtyk,i love you more than you know
ilymtylm,i love you more than you love me
ilysfm,i love you so f  king much
ilysfmb,i love you so f  king much baby
ilysm,i love you so much
ilysmih,i love you so much it hurts
ilysmm,i love you so much more
ilysmydek,i love you so much you don t even know
ilysvm,i love you so very much
ilyvm,i love you very much
ilywamh,i love you with all my heart
im,instant message
im'd,instant messaged
im26c4u,i am too sexy for you
ima,i am a
imao,in my arrogant opinion
imb,i am back
imcdo,in my conceited dogmatic opinion
imed,instant messaged
imfao,in my f  king arrogant opinion
imfo,in my f  king opinion
imh,i am here
imhbco,in my humble but correct opinion
imhe,in my humble experience
imho,in my humble opinion
imm,instant message me
imma,i m going to
imnerho,in my not even remotely humble opinion
imnl,i m not laughing
imnshmfo,in my not so humble mother f  king opinion
imnsho,in my not so humble opinion
imo,in my opinion
imoo,in my own opinion
impo,in my personal opinion
impov,in my point of view
imsb,i am so bored
imsry,i am sorry
imtaw,it may take a while
imts,i meant to say
imu,i miss you
imusm,i miss you so much
imvho,in my very humble opinion
imwtk,inquiring minds want to know
imy,i miss you
imy2,i miss you to
imya,i miss you already
imysfm,i miss you so f  king much
in2,into
inb4,in before
inbd,it s no big deal
incld,include
incrse,increase
ind2p,i need to pee
indie,independent
inef,it s not even funny
inet,internet
inh,i need help
inho,in my honest opinion
inhwh,i need homework help
init,isn t it
inmp,it s not my problem
innit,isn t it
ino,i know
instagib,instant kill
instakill,instant kill
intarwebs,internet
intel,intelligence
interweb,internet
intpftpotm,i nominate this post for the post of the month
inttwmf,i am not typing this with my fingers
invu,i envy you
ioh,i m out of here
iois,indicators of interest
iokiya,it s ok if you are
ionno,i don t know
iono,i don t know
iotd,image of the day
iou,i owe you
iow,in other words
ioya,i d own your a  
ioyk,if only you knew
ip,internet protocol
irc,internet relay chat
irdc,i really don t care
irdgaf,i really don t give a f  k
irdk,i really don t know
irgtgbtw,i ve really got to get back to work
irhtgttbr,i really have to go to the bathroom
irhy,i really hate you
irl,in real life
irly,i really love you
irt,in reply to
irtf,i ll return the favor
is2g,i swear to god
isb,i m so bored 
isbya,im sorry but you asked
isd,internet slang dictionary
ise,internal server error
isfly,i so f  king love you
isg,i speak geek
ishii,i see how it is
isianmtu,i swear i am not making this up
isj,inside joke
iso,in search of
isp,internet service provider
iss,im so sorry
istr,i seem to remember
istwfn,i stole this word from noslang com
iswydt,i see what you did there
ita,i totally agree
itb,in the butt
itc,in that case
itd,in the dark
ite,alright
itk,in the know
itn,i think not
itt,in this thread
ityltk,i thought you d like to know
itz,it s
itzk,it s ok
iucmd,if you catch my drift
iukwim,if you know what i mean
iunno,i don t know
iuno,i dunno
ive,i have
iw2f,i want to f  k
iw2fu,i want to f  k you
iw2mu,i want to meet you
iwaa,it was an accident
iwbrbl@r,i will be right back later
iwc,in which case
iwfusb,i wanna f  k you so bad
iwfy,i want to f  k you
iwfybo,i will f  k your brains out
iwg,it was good
iwhi,i would hit it
iwhswu,i want to have sex with you
iwjk,i was just kidding
iwk,i wouldn t know
iwlu4e,i will love you for ever
iwmu,i will miss you
iwmy,i will miss you
iws,i want sex
iwsn,i want sex now
iwsul8r,i will see you later
iwtfu,i want to f  k you
iwtfy,i want to f  k you
iwthswy,i want to have sex with you
iwtly,i want to love you
iwu,i want you
iwuwh,i wish you were here
iwy,i want you
iwyb,i want your body
iwyn,i want you now
iwythmb,i want you to have my baby
iyam,if you ask me
iyc,if you can
iyd,in your dreams
iydhantsdsaaa,if you don t have anything nice to say don t say anything at all
iydmma,if you don t mind me asking
iyf,in your face
iyflg,if you re feeling less generous
iygm,if you get me
iykwim,if you know what i mean
iym,i am your man
iyo,in your opinion
iyq,i like you
iyss,if you say so
iyswim,if you see what i mean
iywt,if you want to
iz,i
j/a,just asking
j/c,just curious
j/j,just joking
j/k,just kidding
j/o,jackoff
j/p,just playing
j/s,just saying
j/t,just talking
j/w,just wondering
j00,you
j00r,your
j2bs,just to be sure
j2c,just too cute
j2f,just too funny
j2luk,just to let you know
j2lyk,just to let you know
j4f,just for fun
j4g,just for grins
j4l,just for laughs
j4u,just for you
jalaudlm,just as long as you don t leave me
jas,just a second
jb,jailbait
jbu,just between us
jc,just curious
jcam,just checking away message
jcath,just chilling at the house
jdfi,just f  king do it
jebus,jesus
jeomk,just ejaculated on my keyboard
jf,just fooling
jfc,jesus f  king christ
jfdi,just f  king do it 
jff,just for fun
jfg,just for giggles
jfgi,just f  king google it
jfi,just forget it
jfj,jump for joy
jfk,just f  king kidding
jfl,just for laughs
jflts,just felt like typing something
jfn,just for now
jfo,just f  k off
jfr,just for reference
jftr,just for the record
jfu,just for you
jfwy,just f  king with you
jg2h,just go to hell
jgiyn,just google it you noob
jgtfooh,just get the f  k out of here
jh,just hanging
jhm,just hold me
jho,just hanging out
jic,just in case
jit,just in time
jizz,semen
jj,just joking
jj/k,just joking
jja,just joking around
jk,just kidding
jka,just kidding around
jking,joking
jkl,just kidding loser
jklol,just kidding laughing out loud
jkn,joking
jks,jokes
jkz,jokes
jlma,just leave me alone
jlt,just like that
jm,just messing
jma,just messing around
jml,just my luck
jmo,just my opinion
jms,just making sure
jom,just one minuite
joo,you
jooc,just out of curiosity
jooce,juice
joor,your
jp,just playing
js,just saying
jsa,just stop already
jsing,just saying
jst,just
jsuk,just so you know
jsun,just so you know
jsut,just
jsyk,just so you know
jsyn,just so you know
jtay,just thinking about you
jtbs,just to be sure
jtc,join the club
jtfo,joke the f  k out
jtluk,just to let you know
jtlyk,just to let you know
jtoi,just thought of it
jtol,just thinking out loud
jttsiowctw,just testing to see if other websites copy this word
jtty,just to tell you
jtumltk,just thought you might like to know
jtwii,just the way it is 
jtwiw,just the way it was 
jtyltk,just thought you d like to know
jtysk,just thought you should know
jumping the couch,acting strange
jus,just
juss,just
juz,just
juzt,just
jw,just wondering
jw2k,just wanted to know
jwas,just wait a second
jwtlyk,just wanted to let you know
jyfihp,jam your finger in her p   y
k,ok
k3wl,cool
ka,kick a  
kafn,kill all f  king noobs
kah,kisses and hugs
kaw,kick a   work
kay,okay
kb,kilobite
kcco,keep calm chive on
kek,laughing out loud
kewel,cool
kewl,cool
kfc,kentucky fried chicken
khitbash,kick her in the box and shove her
khuf,know how you feel
kia,killed in action
kib,okay  im back
kic,keep it clean
kicks,sneakers
kig,keep it going
kiled,killed
kinda,kind of
kir,kid in room
kis,keep it simple
kisa,knight in shining armor
kit,keep in touch
kitfo,knock it the f  k off
kitteh,kitten
kiu,keep it up
kiwf,kill it with fire
kk,ok
kkk,ku klux klan
kkthnxbye,okay thanks bye
kky,kinky
kl,cool
km,kiss me
kma,kiss my a  
kmag,kiss my a   goodbye
kmao,kick my a   off
kmb,kiss my butt
kmfa,kiss my f  king a  
kmhba,kiss my hairy big a  
kml,killing myself laughing
kmn,kill me now
kmp,kill me please
kmsl,killing myself laughing
kmswl,killing myself with laughter
knackered,drunk
knewb,new player
knn,f  k your mother
kno,know
knw,know
ko,knock out
kol,kiss on lips
koo,cool
kool,cool
kos,kid over shoulder
kotc,kiss on the cheek
kotl,kiss on the lips
kotor,knights of the old republic
kots,keep on talking s  t
kpc,keeping parents clueless
ks,kill steal
kss,kiss
kssd,kissed
kt,keep talking
ktc,kill the cat
ktfo,knocked the f  k out
kthanxbi,okay  thanks  bye 
kthnxbai,okay  thanks  bye
kthnxbye,okay  thanks  bye
kthx,ok  thank you
kthxbai,ok thanks bye 
kthxbi,ok  thank you  goodbye
kthxbye,ok  thank you  goodbye
kthxgb,ok thanks goodbye
kthxmn,ok thanks man
kthz,ok thanks
ktnx,okay and thanks
kuhl,cool
kul,cool
kute,cute
kutgw,keep up the good work
kuwl,cool
kwik,quick
kwim,know what i mean
kwis,know what i m saying 
kwit,quit
kwiz,quiz
kwl,cool
kwtsds,kiss where the sun don t shine
kyag,kiss your a   goodbye
kyfag,kiss your f  king a   goodbye
kyfc,keep your fingers crossed
kyko,keep your knickers on
kys,kill yourself
l0lz,laugh out loud
l2,learn to
l2m,listening to music
l2ms,laughing to myself
l2p,learn to play
l2r,learn to read
l337,elite
l33t,elite
l4m3rz,lamers
l8,late
l84skool,late for school
l8a,later
l8er,later
l8ers,later
l8r,see you later
l8rs,laters
l8rz,later
l8s,later
l8t,later
l8ta,later
l8ter,later
l8tr,later
l@u,laughing at you
laff,laugh
lafs,love at first sight
lak,love and kisses
lal,laughing a little
lalol,lots and lots of laughs
lam,leave a message
lamf,like a motherf  ker
lan,local area network
lappy,laptop
larp     live action role,play
lasb,lame a   stupid b   h
lat,laugh at that
lata,later
lates,later
latn,laugh at the newbs
latr,later
latwttb,laughing all the way to the bank
lau,laugh at you
lawd,lord
lawl,lauging out loud with a southern drawl
lawl'd,laughed out loud
lawled,laughed out loud
lawls,laughing out loud with a southern drawl
lawlz,laughing out loud with a southern drawl
lazer,laser
lazor,laser
lbh,let s be honest
lbnr,laughing but not really
lbo,laughing butt off
lbr,little boy s room
lbvs,laughing but very serious
lcsnpc,low cost small notebook personal computer
ldr     long,distance relationship
lee7,elite
leet,elite
legit,legitimate
leik,like
leme,let me
lemme,let me
lesbo,lesbian
less than 3,love
less than three,love
lez,lesbian
lezbean,lesbian
lezbo,lesbian
lezzzie,lesbian
lf,looking for
lf1m,looking for one more
lf2m,looking for 2 more
lfg,looking for group
lfl,let s f  k later
lfm,looking for mate
lfnar,laughing for no aparent reason
lfp,looking for p   y
lfr,laughing for real
lgb,lesbian gay bisexual
lgbnaf,lets get butt naked and f  k
lgbtq,lesbien  gay  bisexual  transgender and queer 
lgf,little green footballs
lggd,let s go get drunk
lgn,link goes nowhere
lgo,life goes on
lgot,let s go out tonight
lgr,little girls room
lgs,let s go shopping 
lhao,laughing her a   off
lhs,lets have sex
lhsrn,let s have sex right now
lic,like i care
liec,like i even care
liek,like
liekz,likes
lifo,last in first out
ligaff,like i give a flying f  k
ligafs,like i give a flying s  t
ligas,like i give a s  t
lih,laugh in head
liita,love is in the air
lik,like
lil,little
lim,like it matters
limh,laugh in my head
liol,laugh insanely out loud
lirl,laughing in real life
liu,look it up
liv,live
liyf,laughing in your face
lj,live journal
lk,like
lke,like
llab,laughing like a b   h 
llap,live long and prosper
llc,laughing like crazy
llf,laugh like f  k
llol,literally laughing out loud
lltnt,live like theres no tomorrow
lm4aq,let s meet for a quickie 
lma,leave me alone
lmamf,leave me alone mother f  ker
lmao,laughing my a   off
lmaol,laughing my a   out loud
lmaomtoaoa,laugh my a   off many times over and over again
lmaonade,laughing my a   off
lmaool,laughing my a   off out loud
lmaootf,laughing my a   off on the floor
lmaorof,laughing my a   off rolling on the floor
lmaorotf,laughing my a   off rolling on the floor
lmaowrotf,laughing my a   of while rolling on the floor
lmaowtntpm,laughing my a   off whilst trying not to piss myself
lmaoxh,laughing my a   off extremely hard
lmap,leave me alone please
lmb,lick my balls
lmbao,laughing my black a   off
lmbfwao,laughing my big fat white a   off
lmbo,laughing my butt off
lmcao,laughing my crazy a   off
lmclao,laughing my cute little a   off
lmd,lick my d  k
lmfao,laughing my f  king a   off
lmfbo,laugh my f  king butt off
lmffao,laughing my f  king fat a   off
lmffo,laughing my f  king face off
lmfho,laughing my f  king head off
lmfo,laughing my face off
lmfpo,laughing my f  king p   y off
lmfr,lets meet for real
lmfto,laughing my f  kin tits off
lmg,let me guess
lmgdao,laughing my god d  n a   off
lmgtfy,let me google that for you
lmhao,laughing my hairy a   off
lmho,laughing my heiny off
lmip,lets meet in person
lmirl,let s meet in real life
lmk,let me know
lmks,let me know soon
lmkwut,let me know what you think
lml,love my life
lmmfao,laughing my mother f  king a   off
lmmfaos,laughing my mother f  king a   off silly
lmmfas,laugh my mother f  kin a   off
lmmffao,laughing my mother f  king fat a   off
lmo,leave me one
lmoao,laughing my other a   off
lmp,lick my p   y
lmpo,laughing my panties off
lms,leave me some
lmsao,laughing my sexy a   off
lmso,laughing my socks off
lmtd,limited
lmtfa,leave me the f  k alone
lmto,laughing my tits off
lmtus,let me tell you something
lmty,laughing more than you
lmvo,laugh my vagina off
ln,last name
lnk,link
lobfl,laugh out bloody f  king loud
lof,laughing on floor
lofi,uncool
lofl,laugh out f  king loud
loflmao,laying on floor laughing my a   off
loi,laughing on the inside
lol,laughing out loud
lol'd,laughed out loud
lol2u,laugh out loud to you
lol@u,laugh out loud at you
lolarotf,laughing out loud and rolling on the floor
lolaw,laugh out loud at work
lolbs,laugh out loud but seriously
lolcano,laugh out loud
lolci,laughing out loud  crying inside
